name	id
acyltransferase activity, transferring groups other than amino-acyl groups	GO:0016747
phosphorylated carbohydrate dephosphorylation	GO:0046838
cellular carbohydrate metabolic process	GO:0044262
mrna export from nucleus in response to heat stress	GO:0031990
cellular response to heat	GO:0034605
epithelial tube morphogenesis	GO:0060562
tube morphogenesis	GO:0035239
positive regulation of transcription involved in exit from mitosis	GO:0007072
cell cycle process	GO:0022402
induction by symbiont of host camp-mediated signal transduction	GO:0075209
modulation by symbiont of host camp-mediated signal transduction	GO:0075208
d-ribose 5-phosphate:d-fructose 6-phosphate transaldolase activity	GO:0102648
transketolase or transaldolase activity	GO:0016744
modulation of complement activation, lectin pathway in other organism	GO:0044630
regulation of complement activation, lectin pathway	GO:0001868
nociceptin receptor activity	GO:0001626
g protein-coupled opioid receptor activity	GO:0004985
beta-lactam antibiotic catabolic process	GO:0030655
cellular lactam catabolic process	GO:0072340
neurotransmitter secretion	GO:0007269
signal release	GO:0023061
colanic acid metabolic process	GO:0046377
cellular polysaccharide metabolic process	GO:0044264
neuron cell-cell adhesion	GO:0007158
cell-cell adhesion	GO:0098609
tissue homeostasis	GO:0001894
anatomical structure homeostasis	GO:0060249
peptidyl-threonine palmitoylation	GO:0018220
peptidyl-threonine modification	GO:0018210
retrograde trans-synaptic signaling by lipid	GO:0098920
trans-synaptic signaling	GO:0099537
cerebellum structural organization	GO:0021589
anatomical structure arrangement	GO:0048532
cell motility in response to potassium ion	GO:0097230
cell motility	GO:0048870
l-threonine transmembrane transporter activity	GO:0015195
neutral amino acid transmembrane transporter activity	GO:0015175
uridylate kinase activity	GO:0009041
phosphotransferase activity, phosphate group as acceptor	GO:0016776
lipid transport	GO:0006869
testicular fusome organization	GO:0030724
fusome organization	GO:0045478
positive regulation of dna-dependent dna replication initiation	GO:0032298
positive regulation of dna replication	GO:0045740
chimeric colonial development	GO:0099135
socially cooperative development	GO:0099120
cell wall disassembly	GO:0044277
cell wall organization	GO:0071555
phenylacetyl-coa hydrolase activity	GO:0033880
coa hydrolase activity	GO:0016289
dna metabolic process	GO:0006259
cellular macromolecule metabolic process	GO:0044260
sterol deacetylation	GO:0034210
steroid deacetylation	GO:0034208
cortical actin cytoskeleton organization	GO:0030866
actin cytoskeleton organization	GO:0030036
13-lipoxin reductase activity	GO:0036185
n6-isopentenyladenosine methylthiotransferase activity	GO:0035597
methylthiotransferase activity	GO:0035596
5-methyltetrahydropteroyltri-l-glutamate-dependent methyltransferase activity	GO:0042085
methyltransferase activity	GO:0008168
positive regulation of response to external stimulus	GO:0032103
regulation of response to external stimulus	GO:0032101
post-embryonic limb morphogenesis	GO:0035127
limb morphogenesis	GO:0035108
maml2-rbp-jkappa-icn1 complex	GO:0071175
creatinine catabolic process	GO:0006602
zeinoxanthin epsilon hydroxylase activity	GO:0009974
carotene epsilon hydroxylase activity	GO:0072374
retrograde transport, plasma membrane to golgi	GO:0035526
vesicle-mediated transport	GO:0016192
arachidonic acid 5,6-epoxygenase activity	GO:0106301
arachidonic acid epoxygenase activity	GO:0008392
t cell secretory granule organization	GO:0033371
secretory granule organization	GO:0033363
forebrain development	GO:0030900
response to high fluence blue light stimulus by blue high-fluence system	GO:0055121
response to blue light	GO:0009637
carbon catabolite repression of transcription	GO:0045013
negative regulation of transcription, dna-templated	GO:0045892
ureter maturation	GO:0035799
animal organ maturation	GO:0048799
cytoskeletal matrix organization at active zone	GO:0048789
cortical cytoskeleton organization	GO:0030865
plant-type cell wall assembly	GO:0071668
cell wall assembly	GO:0070726
hyphal membrane	GO:0085039
host cell membrane	GO:0033644
proximal convoluted tubule segment 1 cell fate commitment	GO:0072154
cell fate commitment	GO:0045165
meiotic s phase	GO:0051332
s phase	GO:0051320
swimming	GO:0036268
locomotion	GO:0040011
positive regulation of locomotion involved in locomotory behavior	GO:0090326
positive regulation of locomotion	GO:0040017
mrna splicing, via endonucleolytic cleavage and ligation	GO:0070054
rna splicing, via endonucleolytic cleavage and ligation	GO:0000394
coreceptor activity	GO:0015026
signaling receptor activity	GO:0038023
penicillin biosynthetic process	GO:0042318
negative regulation of complement activation, classical pathway in other organism	GO:0044629
negative regulation of complement activation, classical pathway	GO:0045959
afferent axon development in posterior lateral line nerve	GO:0048933
afferent axon development in lateral line nerve	GO:0048893
glycylpeptide n-tetradecanoyltransferase activity	GO:0004379
n-acyltransferase activity	GO:0016410
septum digestion after cytokinesis	GO:0000920
cellular process	GO:0009987
cysteine-type exopeptidase activity	GO:0070004
exopeptidase activity	GO:0008238
site-specific dna replication termination	GO:0071170
dna replication termination	GO:0006274
alcohol o-octanoyltransferase activity	GO:0034321
o-acetyltransferase activity	GO:0016413
microcin e492 biosynthetic process by siderophore ester modification of peptidyl-serine	GO:0051263
peptidyl-serine modification	GO:0018209
cucurbitacin delta23-reductase activity	GO:0047791
oxidoreductase activity, acting on the ch-ch group of donors, nad or nadp as acceptor	GO:0016628
oryzalexin a synthase activity	GO:0102616
layer formation in cerebral cortex	GO:0021819
anatomical structure formation involved in morphogenesis	GO:0048646
age-dependent response to oxidative stress	GO:0001306
response to oxidative stress	GO:0006979
ribose isomerase activity	GO:0050261
intramolecular oxidoreductase activity, interconverting aldoses and ketoses	GO:0016861
ubiquitin ligase-substrate adaptor activity	GO:1990756
protein-macromolecule adaptor activity	GO:0030674
oxytocin receptor activity	GO:0004990
g protein-coupled peptide receptor activity	GO:0008528
export across cell outer membrane	GO:0140317
transmembrane transport	GO:0055085
nlrp3 inflammasome complex	GO:0072559
archaetidylserine synthase activity	GO:0043761
phosphotransferase activity, for other substituted phosphate groups	GO:0016780
nuclear telomere cap complex	GO:0000783
telomere cap complex	GO:0000782
1-18:1-2-16:0-monogalactosyldiacylglycerol palmitoyl-lipid 7-desaturase activity	GO:0102657
oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	GO:0016717
sebaceous gland development	GO:0048733
gland development	GO:0048732
preblastoderm mitotic cell cycle	GO:0035185
mitotic cell cycle, embryonic	GO:0045448
gibberellin a19, 2-oxoglutarate:oxygen oxidoreductase activity	GO:0103057
2-oxoglutarate-dependent dioxygenase activity	GO:0016706
polyuridylation-dependent decapping of nuclear-transcribed mrna	GO:0036450
deadenylation-independent decapping of nuclear-transcribed mrna	GO:0031087
membrane docking	GO:0022406
negative regulation of extracellular matrix constituent secretion	GO:0003332
negative regulation of extracellular matrix organization	GO:1903054
autotransporter activity	GO:0015474
porin activity	GO:0015288
nitrobenzene nitroreductase activity	GO:0018546
oxidoreductase activity, acting on nad(p)h, nitrogenous group as acceptor	GO:0016657
cd4-positive, alpha-beta intraepithelial t cell differentiation	GO:0002301
envenomation resulting in modulation of blood coagulation in other organism	GO:0044468
envenomation resulting in modulation of process in other organism	GO:0035738
microtubule depolymerization	GO:0007019
microtubule polymerization or depolymerization	GO:0031109
clathrin adaptor activity	GO:0035615
cargo adaptor activity	GO:0140312
cell growth involved in cardiac muscle cell development	GO:0061049
developmental cell growth	GO:0048588
host cell endosome	GO:0044174
host intracellular membrane-bounded organelle	GO:0033648
frontal suture morphogenesis	GO:0060364
cranial suture morphogenesis	GO:0060363
endo-xylogalacturonan hydrolase activity	GO:0052792
mrf binding	GO:0043426
bhlh transcription factor binding	GO:0043425
primary follicle stage	GO:0048160
mammalian oogenesis stage	GO:0022605
apc-iqgap1-clip-170 complex	GO:0034746
l-arabinonolactonase activity	GO:0050021
carboxylic ester hydrolase activity	GO:0052689
establishment of mitochondrion localization by microtubule attachment	GO:0034640
establishment of mitochondrion localization, microtubule-mediated	GO:0034643
trna wobble base modification	GO:0002097
trna modification	GO:0006400
l-mimosine synthase activity	GO:0050461
transferase activity, transferring alkyl or aryl (other than methyl) groups	GO:0016765
adenyl-nucleotide exchange factor activity	GO:0000774
atpase regulator activity	GO:0060590
spindle pole body-nuclear membrane anchor activity	GO:0106166
spindle pole body anchor activity	GO:0140475
positive regulation of transcription by oleic acid	GO:0061421
carbon catabolite activation of transcription	GO:0045991
aerobic cobalamin biosynthetic process	GO:0019250
cobalamin biosynthetic process	GO:0009236
protein phosphatase type 2a complex	GO:0000159
protein serine/threonine phosphatase complex	GO:0008287
2-phenylethyl 6-o-beta-d-xylopyranosyl-beta-d-glucopyranoside glucosidase (yabukita) activity	GO:0102402
dead/h-box rna helicase binding	GO:0017151
enzyme binding	GO:0019899
positive regulation by symbiont of nutrient release from host	GO:0052092
positive regulation by organism of nutrient release from other organism involved in symbiotic interaction	GO:0052520
diglucosyl diacylglycerol synthase activity	GO:0047257
udp-glycosyltransferase activity	GO:0008194
laminin-10 complex	GO:0043259
laminin complex	GO:0043256
u2 snrnp binding	GO:1990447
snrnp binding	GO:0070990
mucosal lymphocyte homeostasis	GO:0002261
lymphocyte homeostasis	GO:0002260
protein-n(pi)-phosphohistidine-n-acetylgalactosamine phosphotransferase system transporter activity	GO:0022881
protein-n(pi)-phosphohistidine-sugar phosphotransferase activity	GO:0008982
talin binding	GO:1990147
cytoskeletal protein binding	GO:0008092
nitric-oxide synthase activity	GO:0004517
axon arborization	GO:0140060
axonogenesis	GO:0007409
intracellular chloride channel activity	GO:0061778
chloride channel activity	GO:0005254
triphosphoribosyl-dephospho-coa synthase activity	GO:0046917
ventricular trabecula myocardium morphogenesis	GO:0003222
heart trabecula morphogenesis	GO:0061384
nonphotochemical quenching	GO:0010196
energy quenching	GO:1990066
response to interleukin-2	GO:0070669
response to cytokine	GO:0034097
gastric mucosal blood circulation	GO:1990768
blood circulation	GO:0008015
positive regulation of response to stimulus	GO:0048584
regulation of response to stimulus	GO:0048583
cellular aldehyde metabolic process	GO:0006081
peptidyl-serine sulfation	GO:0050984
regulation of bile acid biosynthetic process	GO:0070857
regulation of cellular ketone metabolic process	GO:0010565
specification of metanephric proximal tubule identity	GO:0072297
positive regulation of septation initiation signaling	GO:0031031
positive regulation of division septum assembly	GO:0010973
glucagon secretion	GO:0070091
peptide hormone secretion	GO:0030072
4-hydroxybutanoyl-coa dehydratase activity	GO:0043721
hydro-lyase activity	GO:0016836
limb spinous cell fate specification	GO:0060894
epidermal cell fate specification	GO:0009957
toxin activity	GO:0090729
molecular_function	GO:0003674
traversing start control point of mitotic cell cycle	GO:0007089
positive regulation of g1/s transition of mitotic cell cycle	GO:1900087
embryonic hindlimb morphogenesis	GO:0035116
embryonic limb morphogenesis	GO:0030326
carpel formation	GO:0048462
floral organ formation	GO:0048449
negative regulation of glomerular filtration	GO:0003105
negative regulation of multicellular organismal process	GO:0051241
antifungal innate immune response	GO:0061760
innate immune response	GO:0045087
b cell receptor complex	GO:0019815
receptor complex	GO:0043235
phosphorylase kinase activity	GO:0004689
calmodulin-dependent protein kinase activity	GO:0004683
vesicle transport along actin filament	GO:0030050
actin filament-based movement	GO:0030048
deaminated base dna n-glycosylase activity	GO:0097506
dna n-glycosylase activity	GO:0019104
mesonephric glomerular mesangial cell proliferation involved in mesonephros development	GO:0061269
cell proliferation involved in mesonephros development	GO:0061209
cyclomaltodextrinase activity	GO:0047798
plasma lipoprotein particle	GO:0034358
lipoprotein particle	GO:1990777
cellular response to brain-derived neurotrophic factor stimulus	GO:1990416
cellular response to nerve growth factor stimulus	GO:1990090
dna methylation-dependent heterochromatin assembly	GO:0006346
heterochromatin assembly	GO:0031507
retinal cell programmed cell death	GO:0046666
presynaptic endocytic zone cytoplasmic component	GO:0098834
cell cortex region	GO:0099738
udp-n-acetyl-alpha-d-quinovosamine dehydrogenase activity	GO:0102538
oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor	GO:0016623
oxidoreductase activity, acting on the aldehyde or oxo group of donors	GO:0016903
clathrin-dependent endocytosis of virus by host cell	GO:0075512
clathrin-dependent endocytosis	GO:0072583
negative regulation of gastric acid secretion	GO:0060455
regulation of gastric acid secretion	GO:0060453
fourth ventricle development	GO:0021592
cellular alcohol biosynthetic process	GO:0044108
cellular biosynthetic process	GO:0044249
peripheral nervous system neuron axonogenesis	GO:0048936
kinesis	GO:0042465
response to external stimulus	GO:0009605
positive regulation of developmental growth	GO:0048639
positive regulation of growth	GO:0045927
fasl biosynthetic process	GO:0045210
glycoprotein biosynthetic process	GO:0009101
schwann cell proliferation	GO:0014010
glial cell proliferation	GO:0014009
protein-fmn linkage via s-(4a-fmn)-l-cysteine	GO:0050742
protein-fmn linkage	GO:0018309
acetylgalactosaminyl-o-glycosyl-glycoprotein beta-1,3-n-acetylglucosaminyltransferase activity	GO:0047224
acetylglucosaminyltransferase activity	GO:0008375
mesonephric nephron epithelium development	GO:0061241
nephron epithelium development	GO:0072009
(s)-carnitine 3-dehydrogenase activity	GO:0047041
syncytial blastoderm mitotic cell cycle	GO:0035186
cell cycle comprising mitosis without cytokinesis	GO:0033301
rna splicing	GO:0008380
rna processing	GO:0006396
restriction-modification system evasion by virus	GO:0099018
mitigation of host defenses by virus	GO:0019049
n,n-dihydroxy-l-tryptophan decarboxylase activity	GO:0090492
carboxy-lyase activity	GO:0016831
4-oxalocrotonate decarboxylase activity	GO:0047437
positive regulation of leukocyte activation	GO:0002696
positive regulation of cell activation	GO:0050867
negative regulation of cell-glial cell adhesion involved in cerebral cortex lamination	GO:0021821
negative regulation of cell-cell adhesion	GO:0022408
intermediate conductance calcium-activated potassium channel activity	GO:0022894
calcium-activated potassium channel activity	GO:0015269
2-hydroxyisophthalate decarboxylase activity	GO:0034524
outer mitochondrial membrane organization	GO:0007008
mitochondrial membrane organization	GO:0007006
histone h3-k4 dimethylation	GO:0044648
histone h3-k4 methylation	GO:0051568
neuromast hair cell morphogenesis	GO:0035678
cell morphogenesis involved in neuron differentiation	GO:0048667
induction by symbiont of host transmembrane receptor-mediated signal transduction	GO:0075113
induction by symbiont of host receptor-mediated signal transduction	GO:0075110
f-9775a biosynthetic process	GO:1900611
response to endogenous stimulus	GO:0009719
response to stimulus	GO:0050896
g-rich strand telomeric dna binding	GO:0098505
single-stranded telomeric dna binding	GO:0043047
brain segmentation	GO:0035284
segmentation	GO:0035282
modulation of age-related behavioral decline	GO:0090647
high-affinity iga receptor activity	GO:0002170
iga receptor activity	GO:0019766
udp-glucuronate decarboxylase activity	GO:0048040
trna-guanine transglycosylation	GO:0101030
phenylacetate hydroxylase activity	GO:0018631
pseudopodium assembly	GO:0031269
pseudopodium organization	GO:0031268
positive regulation of endothelial cell chemotaxis by vegf-activated vascular endothelial growth factor receptor signaling pathway	GO:0038033
vascular endothelial growth factor receptor signaling pathway	GO:0048010
spindle pole body-led chromosome movement during mitotic interphase	GO:0140405
establishment of chromosome localization	GO:0051303
sn-2-glycerol-3-phosphate c16:0-dca-coa acyl transferase activity	GO:0102408
mandelate racemase activity	GO:0018838
racemase and epimerase activity, acting on hydroxy acids and derivatives	GO:0016856
peptidyl-methionine oxidation	GO:0018159
peptidyl-methionine modification	GO:0018206
nebenkern assembly	GO:0007287
developmental process involved in reproduction	GO:0003006
1,2-dihydroxy-7-hydroxymethylnaphthalene dioxygenase activity	GO:0034533
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	GO:0016701
otolith mineralization completed early in development	GO:0031173
otolith mineralization	GO:0045299
negative regulation of maintenance of bipolar cell polarity regulating cell shape	GO:0061362
regulation of maintenance of bipolar cell polarity regulating cell shape	GO:2000115
aliphatic (s)-hydroxynitrile lyase activity	GO:0052891
spermine acetylation	GO:0032919
polyamine acetylation	GO:0032917
lymphocyte apoptotic process	GO:0070227
leukocyte apoptotic process	GO:0071887
gca codon-amino acid adaptor activity	GO:0033455
triplet codon-amino acid adaptor activity	GO:0030533
sensory perception of mechanical stimulus	GO:0050954
sensory perception	GO:0007600
embryonic placenta development	GO:0001892
embryonic organ development	GO:0048568
response to red or far red light	GO:0009639
response to light stimulus	GO:0009416
2-aminophenol 1,6-dioxygenase activity	GO:0018573
dimethylsilanediol hydroxylase activity	GO:0018596
rc-1 dna recombination complex	GO:0070467
sex-specific pigmentation	GO:0048071
benzaldehyde dehydrogenase (nadp+) activity	GO:0018477
aldehyde dehydrogenase (nadp+) activity	GO:0033721
sphinganine kinase activity	GO:0008481
lipid kinase activity	GO:0001727
reductive pentose-phosphate cycle	GO:0019253
photosynthesis, dark reaction	GO:0019685
cytosolic proteasome core complex	GO:0031603
proteasome core complex	GO:0005839
positive regulation by symbiont of host phytoalexin production	GO:0052344
induction by symbiont of host immune response	GO:0052559
n-acetyl-gamma-aminoadipyl-phosphate reductase activity	GO:0043870
cell-cell adhesion involved in cerebral cortex tangential migration using cell-cell interactions	GO:0021832
cell-cell adhesion via plasma-membrane adhesion molecules	GO:0098742
phosphatidylinositol 3-kinase regulatory subunit binding	GO:0036312
phosphatidylinositol 3-kinase binding	GO:0043548
smooth muscle relaxation of the bladder outlet	GO:0060085
mesonephros morphogenesis	GO:0061206
kidney morphogenesis	GO:0060993
melatonin metabolic process	GO:0030186
indole-containing compound metabolic process	GO:0042430
cag codon-amino acid adaptor activity	GO:0033428
iron-sulfur-molybdenum cofactor assembly	GO:0044593
iron-sulfur cluster assembly	GO:0016226
mucus secretion	GO:0070254
secretion by tissue	GO:0032941
perisynaptic extracellular matrix	GO:0098966
collagen-containing extracellular matrix	GO:0062023
acyltransferase activity	GO:0016746
n-terminal peptidyl-threonine deamination	GO:0018278
n-terminal protein amino acid deamination, from amino carbon	GO:0018058
altruistic, chimeric, non-reproductive fruiting body development	GO:0099137
chimeric non-reproductive fruiting body development	GO:0099136
sodium-independent prostaglandin transport	GO:0071720
sodium-independent icosanoid transport	GO:0071718
ige immunoglobulin complex, circulating	GO:0071743
immunoglobulin complex, circulating	GO:0042571
hexaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific) activity	GO:0052922
prenyltransferase activity	GO:0004659
protein localization to mei2 nuclear dot	GO:1902549
cellular protein localization	GO:0034613
gonad development	GO:0008406
reproductive structure development	GO:0048608
cytochrome-c oxidase activity	GO:0004129
oxidoreduction-driven active transmembrane transporter activity	GO:0015453
diphthine-ammonia ligase activity	GO:0017178
acid-ammonia (or amide) ligase activity	GO:0016880
organic cyclic compound biosynthetic process	GO:1901362
organic substance biosynthetic process	GO:1901576
plant organ senescence	GO:0090693
aging	GO:0007568
alpha-d-xyloside xylohydrolase	GO:0061634
optic vesicle formation	GO:0003403
floor plate formation	GO:0021508
fluorothreonine transaldolase activity	GO:0033806
metal ion:proton antiporter activity	GO:0051139
solute:proton antiporter activity	GO:0015299
determination of digestive tract left/right asymmetry	GO:0071907
determination of left/right symmetry	GO:0007368
fibroblast activation	GO:0072537
cell activation	GO:0001775
